type,id,question,A,B,C,D,correct,image,acceptedAnswers,image1,answer1,image2,answer2,image3,answer3,image4,answer4
mcq,1,Kompania zmechanizowana w natarciu może działać jako?,Marsz ubezpieczony,Patrol czołowy,"Pluton, kompania, batalion",Pododdział obejścia,D,,,,,,,,,,
mcq,2,W skład kompanijnego pułku zaopatrzenia wchodzi?,Kompanijny punkt opatrunkowy,Kompanijny punkt żywienia,Grupa ewakuacyjno-remontowa,Grupa ewakuacji medycznej,B,,,,,,,,,,
mcq,3,Do specyficznych środowisk walki zaliczamy?,Teren podmokły,Teren skalisty,Wybrzeże morskie,Warunki dobrej widoczności,C,,,,,,,,,,
mcq,4,KTO Rosomak jako samobieżny moździerz wyposażony jest w główny środek ogniowy o kalibrze?,120mm (Nośnik Moździerza M120 RAK),122mm,155mm,125mm,A,,,,,,,,,,
mcq,5,PPZR Poprad jest środkiem?,Artyleryjskim,Rakietowym,Artyleryjsko-rakietowym,Niekinetycznym,B,,,,,,,,,,
mcq,6,Wyróżniamy następujące rodzaje natarcia?,Atak wyprzedzający,Działania głębokie,Bój spotkaniowy,Pościg,A,,,,,,,,,,
mcq,7,Do uzupełniających działań bojowych zaliczamy?,Działania opóźniające,Bój spotkaniowy,Wymuszanie pokoju,Działania nieregularne,B,,,,,,,,,,
mcq,8,Obroną jest?,Działania na połączenie,Działania opóźniające,Bój spotkaniowy,Obrona manewrowa,D,,,,,,,,,,
mcq,9,Formami działań nieregularnych nie są?,Rozpoznanie,Dywersja,Likwidacja,Działania towarzyszące,D,,,,,,,,,,
mcq,10,Pluton zmechanizowany w jednym rzucie broni się na szerokości ok.?,500m,1000m,100m,300m,A,,,,,,,,,,
mcq,11,"W dowództwie batalionu, dywizjonu tworzy się?",Sztab,Pion operacyjny,Pion głównego księgowego,Pion wsparcia działań,A,,,,,,,,,,
mcq,12,"W pionie operacyjnym batalionu, dywizjonu, eskadry nie tworzy się?",Sekcji,Wydziałów,Pojedynczych stanowisk,Zespołów,B,,,,,,,,,,
mcq,13,"W dowództwie batalionu, dywizjonu tworzy się stanowiska?",Zastępców szefa sztabu,Zastępców szefa logistyki,Zastępców głównego księgowego,Zastępców dowódcy,D,,,,,,,,,,
mcq,14,W KTO Rosomak jako samobieżny moździerz wyposażony jest?,Dywizjon artylerii samobieżnej,Pułk artylerii,Kompanijny moduł ogniowy,Pluton wsparcia,C,,,,,,,,,,
mcq,15,PPZR Poprad przeznaczony jest do zwalczania?,Na małych wysokościach,Na bardzo małych wysokościach,Na średnich wysokościach,Na dużych odległościach,B,,,,,,,,,,
mcq,16,Batalion zmechanizowany ma kompanii zmechanizowanych?,4,5,2,3,D,,,,,,,,,,
mcq,17,Następujący samolot bojowy nie jest na uzbrojeniu eskadr Sił Powietrznych?,MIG 29,SU 27,SU 22,F 16,B,,,,,,,,,,
mcq,18,Następujący śmigłowiec nie jest na uzbrojeniu LWL i WS?,MI 24,AW 149,Black Hawk,Ka-52,D,,,,,,,,,,
mcq,19,Następujący środek obrony przeciwlotniczej nie jest na uzbrojeniu baterii plot?,ZSU 23-4MP BIAŁA,9K33 OSA,2K12 KUB,9K330 TOR,D,,,,,,,,,,
mcq,20,W kompanii zmechanizowanej plutonów zmechanizowanych jest?,4,5,2,3,D,,,,,,,,,,
mcq,21,Następujący czołg nie jest na wyposażeniu WP,T-90,T-72,PT-91,K2,A,,,,,,,,,,
mcq,22,Następujący środek artyleryjski nie jest na uzbrojeniu WP,Armatohaubica samobieżna AHS KRAB,K9 Thunder,WR-40 Langusta,2S35 Koalicja-SW,D,,,,,,,,,,
mcq,24,Rozpoznanie wojskowe obejmuje?,"Odp. zdobywanie i dostarczanie dowódcy informacji o działalności przeciwnika, terenie, warunkach meteorologicznych pozwalających na przygotowanie i prowadzenie walki","rozpoznanie inżynieryjne, przeciwlotnicze, artyleryjskie, skażeń","rozpoznanie powietrzne, morskie, kosmiczne (satelitarne)","rozpoznanie specjalne, ogólnowojskowe",A,,,,,,,,,,
mcq,25,W wojskach lądowych kompania rozpoznawcza jest pododdziałem bezpośrednio podległym dowódcy Brygady. Do jej głównych zadań należy?,"Odp. wydzielenie sił i środków przeznaczone do dozorowania obszaru, prowadzenia działań rozpoznawczych i wykrywania obiektów przeciwnika. Ponadto zdobywa i dostarcza informacje o przeciwniku, terenie, sytuacji skażeń i warunkach hydrometeorologicznych niezbędnych do planowania i prowadzenia działań","Odp.2 celowość, ciągłość, aktywność, terminowość, operatywność, skrytość, wiarygodność, dokładność określania współrzędnych obiektów",,,A,,,,,,,,,,
mcq,26,Rodzaje rozpoznania wojskowego to?,"Rozpoznanie osobowe (HUMINT), Rozpoznanie akustyczne (ACINT), Rozpoznanie obrazowe (IMINT), Rozpoznanie pomiarowe i sygnaturowe (MASINT), Rozpoznanie z ogólnodostępnych źródeł (OSINT), Rozpoznanie radiolokacyjne (RIINT), Rozpoznanie sygnałów elektromagnetycznych (SIGINT)","Rozpoznanie osobowe i wieloosobowe (HUMINT), Rozpoznanie obrazowe (IMINT), Rozpoznanie z ogólnodostępnych źródeł (OSINT), Rozpoznanie radiolokacyjne (RIINT), Rozpoznanie sygnałów radiowych i elektromagnetycznych (SIGINT)","Rozpoznanie osobowe (HUMINT), Rozpoznanie akustyczne (ACINT), Rozpoznanie obrazowe (IMINT), Rozpoznanie z ogólnodostępnych źródeł (OSINT), Rozpoznanie radiolokacyjne (RIINT), Rozpoznanie sygnałów radio i elektromagnetycznych (SIGINT)",,A,,,,,,,,,,
mcq,27,Do zasad rozpoznania zgodnie z „Regulaminem działań wojsk lądowych” zalicza się?,Centralne kierowanie. Terminowość. Systematyczne wykorzystanie źródeł. Obiektywność. Dostępność. Dyspozycyjność. Zabezpieczenie źródeł. Ciągła weryfikacja,Centralne kierowanie. Terminowość. Systematyczne wykorzystanie źródeł. Obiektywność,Systematyczne wykorzystanie źródeł. Obiektywność. Dostępność. Wiarygodność,,A,,,,,,,,,,
mcq,28,Danymi rozpoznawczymi są?,wszystkie dane o przeciwniku,informacje potencjalne które po odpowiednim opracowaniu mogą stać się przydatne w działaniach,porcje informacji przekazywane adresatowi w czystej formie,informacje opracowane na użytek konkretnego adresata,A,,,,,,,,,,
mcq,29,Dowódca prowadzący działania będzie zainteresowany informacjami z następujących rejonów?,"Odp. Działań wroga, frontu i obszarów walki, terenu i warunków geograficznych, zaopatrzenia i logistyki, przestrzeni informatycznej i cybernetycznej, oddziaływania ludności cywilnej",działań przeciwnika,rejonu odpowiedzialności działania brygady,"oddziaływania (Area of Influence), odpowiedzialności rozpoznawczej (Area of Intelligence Responsibility), zainteresowania rozpoznawczego (Area of Intelligence Interest)",A,,,,,,,,,,
mcq,30,Działalność rozpoznawcza powinna być prowadzona w czasie pokoju kryzysu i działań bojowych a wszystkie jej elementy powinny wzajemnie się uzupełniać w zakresie?,"Odp. Ciągłość, kompleksowość, dokładność, elastyczność","Odp.2 przestrzeni, czasu, sił, interoperacyjności, różnorodności, celowości",Przestrzeni – żeby zapewnić pokrycie wszystkich rejonów umożliwiając wykrycie przeciwnika wszelkimi możliwymi środkami; czasu – żeby zapewnić ciągłość działań rozpoznawczych; interoperacyjność wszędzie gdzie to możliwe; różnorodność – różne rodzaje sił i środków rozpoznania,Przestrzeni – żeby zapewnić pokrycie wszystkich rejonów umożliwiając wykrycie przeciwnika wszelkimi możliwymi środkami; czasu – żeby zapewnić ciągłość działań rozpoznawczych; interoperacyjności wszędzie gdzie to możliwe; różnorodności – różne rodzaje sił i środków rozpoznania; wiarygodności – by dowódca był pewny prawdziwości przedstawionych mu informacji,A,,,,,,,,,,
mcq,31,Rejon zainteresowania rozpoznawczego (Area of Intelligence Interest) to obszar z którego dowódca wymaga wiadomości rozpoznawczych od przełożonego i sąsiadów o czynnikach i elementach sytuacji które prawdopodobnie będą wpływać na przebieg bieżących i przyszłych działań. Jego głębokość może wynosić?,"dla batalionu do 30 km, dla brygady do 70 km, dla dywizji do 150 km","dla kompanii do 10 km, dla batalionu do 30 km, dla brygady do 70 km","dla batalionu do 10 km, dla brygady do 50 km, dla dywizji do 100 km",,A,,,,,,,,,,
mcq,32,Rejon odpowiedzialności rozpoznawczej (Area of Intelligence Responsibility) to przydzielony dowódcy danego szczebla obszar w którym jest on odpowiedzialny za dostarczanie informacji zdobytych za pomocą środków będących w jego dyspozycji. Przyjmuje się że głębokość rejonu może wynosić?,"dla batalionu do 7 km, dla brygady do 30 km, dla dywizji do 70 km","dla kompanii do 10 km, dla batalionu do 30 km, dla brygady do 70 km","dla batalionu do 10 km, dla brygady do 50 km, dla dywizji do 100 km",,A,,,,,,,,,,
mcq,33,W skład komponentu lądowego Sił Zbrojnych Federacji Rosyjskiej stacjonującego w Obwodzie Królewieckim wchodzą następujące jednostki wojskowe?,"Skład 11. Korpusu Armijnego Wojsk Lądowych – 18 Dywizja Zmotoryzowana, 7 Samodzielny Pułk Strzelców Zmotoryzowanych, 152 Brygada Rakietowa, 244 Brygada Artylerii, 22 Samodzielny Pułk Rakietowy Obrony Powietrznej, 40 Samodzielny Batalion Dowodzenia, 46 Batalion Rozpoznawczy","Skład 12. Korpusu Armijnego Wojsk Lądowych – 10 Dywizja Zmotoryzowana, 9 Samodzielny Pułk Strzelców Zmotoryzowanych, 153 Brygada Rakietowa, 244 Brygada Artylerii, 22 Samodzielny Pułk Rakietowy Obrony Powietrznej","Skład 11. Korpusu Armijnego Wojsk Lądowych – 18 Dywizja Zmotoryzowana, 8 Samodzielny Pułk Strzelców Zmotoryzowanych, 153 Brygada Rakietowa, 254 Brygada Artylerii, 27 Samodzielny Pułk Rakietowy Obrony Powietrznej, 41 Samodzielny Batalion Dowodzenia, 47 Batalion Rozpoznawczy",,A,,,,,,,,,,
mcq,34,W skład 34. Mieszanej Dywizji Lotniczej Sił Zbrojnych Federacji Rosyjskiej wchodzi?,"4 mieszany pułk lotniczy, 689 pułk lotnictwa myśliwskiego, 396 mieszany pułk śmigłowców","5 mieszany pułk lotniczy, 669 pułk lotnictwa myśliwskiego","4 mieszany pułk lotniczy, 789 pułk lotnictwa myśliwskiego, 210 mieszany pułk śmigłowców",,A,,,,,,,,,,
mcq,35,"Wskaż, które z wymienionych przedsięwzięć nie należy do działań OPBMR?","Wykrywanie, identyfikacja skażeń",Monitoring zmian,"Ostrzeganie, alarmowanie i meldowanie o skażeniach",Ochrona przed zbrojną napaścią,D,,,,,,,,,,
mcq,36,Która substancja chemiczna nie należy do Toksycznych Środków Przemysłowych?,cyjanowodór,chlor,dwutlenek węgla,sarin,C,,,,,,,,,,
mcq,37,Do charakterystycznych oznak użycia BMR zaliczymy?,zniszczenia na niewielką skalę,znaczny wzrost zachorowań na chorobę nieznanego pochodzenia,znaczny spadek poziomu rzek,masowe straty w ludziach,B,,,,,,,,,,
mcq,38,Do zespołu charakterystycznych objawów wywołanych przez TŚP nie należy?,paraliż układu nerwowego,podrażnienie skóry i błon śluzowych,biegunka i inne komplikacje ze strony układu pokarmowego,zaburzenia widzenia,C,,,,,,,,,,
mcq,39,Przyrządem do rozpoznania skażeń chemicznych i promieniotwórczych nie jest?,Dozymetr DKP-50,Lyce Cycler,Papierek wskaźnikowy PWCH-1,Automatyczny przyrząd rozpoznania skażeń chemicznych AP2C i AP4C,B,,,,,,,,,,
mcq,40,Do metod wykrywania skażeń promieniotwórczych nie zaliczamy?,metoda fotograficzna,metoda immunochromatograficzna,metoda scyntylacyjna,metody radiometrycznej,B,,,,,,,,,,
mcq,41,Urządzenie nie służące do detekcji i identyfikacji BMR to?,PCHR-54M,dozymetr optyczny,LIDAR,Real Time-PCR,B,,,,,,,,,,
