type,id,question,A,B,C,D,correct,image,acceptedAnswers,image1,answer1,image2,answer2,image3,answer3,image4,answer4
mcq,1,Kompania zmechanizowana w natarciu może działać jako?,Pododdział obejścia,Odwód strategiczny szczebla armii,Samodzielna grupa operacyjna Poprawna: a) Pododdział obejścia,,,,,,,,,,,,
mcq,2,W skład kompanijnego punktu zaopatrzenia wchodzi?,Kompanijny punkt dowodzenia,Kompanijny punkt żywienia,Batalionowy punkt medyczny Poprawna: b) Kompanijny punkt żywienia,,,,,,,,,,,,
mcq,3,Do specyficznych środowisk walki zaliczamy?,Wyłącznie teren pustynny i stepowy,"Teren zabudowany, lasy i obszary lesisto-jeziorne, teren górzysty, wybrzeże morskie, przeszkody wodne, noc i warunki ograniczonej widoczności oraz zimę",Wyłącznie obszary zurbanizowane powyżej 100 tys. mieszkańców,,B,,,,,,,,,,
mcq,4,KTO Rosomak jako samobieżny moździerz wyposażony jest w główny środek ogniowy o kalibrze?,98 mm,120 mm,155 mm Poprawna: b) 120 mm,,,,,,,,,,,,
mcq,5,PPZR Poprad jest?,Samobieżnym zestawem artylerii lufowej,Środkiem ogniowym – rakietowym,Transporterem opancerzonym wsparcia logistycznego Poprawna: b) Środkiem ogniowym – rakietowym,,,,,,,,,,,,
mcq,6,Wyróżniamy następujące rodzaje natarcia?,"Atak wyprzedzający, rozpoznanie walką, rajd, kontratak, natarcie szybkie","Obrona manewrowa, obrona stała, obrona przejściowa","Zasadzka, blokada, ewakuacja",,A,,,,,,,,,,
mcq,7,Do uzupełniających działań bojowych zaliczamy?,Bój spotkaniowy,Operację strategiczną połączoną,Mobilizację powszechną Poprawna: a) Bój spotkaniowy,,,,,,,,,,,,
mcq,8,Obroną jest?,Rodzaj działań polegający wyłącznie na wycofaniu się bez walki,Zamierzony lub wymuszony rodzaj walki prowadzony w celu zapobieżenia opanowaniu terenu przez przeciwnika i stworzenia warunków do działań zaczepnych,Czasowe wstrzymanie działań bojowych w celu reorganizacji sił,,B,,,,,,,,,,
mcq,9,Formami działań nieregularnych nie są?,Sabotaż i dywersja,Działania towarzyszące,Partyzantka Poprawna: b) Działania towarzyszące,,,,,,,,,,,,
mcq,10,Pluton zmechanizowany w jednym rzucie broni się na szerokości około?,200 m,500 m,1200 m Poprawna: b) 500 m,,,,,,,,,,,,
mcq,11,"W dowództwie batalionu, dywizjonu tworzy się?",Sztab,Grupę operacyjną szczebla korpusu,Dowództwo połączonych sił zadaniowych Poprawna: a) Sztab,,,,,,,,,,,,
mcq,12,"W pionie operacyjnym batalionu, dywizjonu, eskadry nie tworzy się?",Sekcji operacyjnej,Wydziałów,Stanowiska oficera operacyjnego Poprawna: b) Wydziałów,,,,,,,,,,,,
mcq,13,"W dowództwie batalionu, dywizjonu tworzy się stanowiska?",Dowódców brygad,Zastępców Szefa Sztabu,Inspektorów rodzajów sił zbrojnych Poprawna: b) Zastępców Szefa Sztabu,,,,,,,,,,,,
mcq,14,KTO Rosomak jako samobieżny moździerz wyposażony jest?,W armatę 30 mm,W przeciwpancerny zestaw kierowany,W kompanijny moduł ogniowy Poprawna: c) W kompanijny moduł ogniowy,,,,,,,,,,,,
mcq,15,PPZR Poprad przeznaczony jest do zwalczania?,Celów nawodnych,Celów powietrznych na bardzo małych odległościach,Celów pancernych na dystansie powyżej 10 km Poprawna: b) Celów powietrznych na bardzo małych odległościach,,,,,,,,,,,,
mcq,16,Batalion zmechanizowany ma kompanii zmechanizowanych?,Dwie,Trzy,Cztery Poprawna: b) Trzy,,,,,,,,,,,,
mcq,17,Następujący samolot bojowy nie jest na uzbrojeniu eskadr Sił Powietrznych?,F-16,MiG-29,Su-27 Poprawna: c) Su-27,,,,,,,,,,,,
mcq,18,Następujący śmigłowiec nie jest na uzbrojeniu LWL i WS?,Mi-24,W-3 Sokół,Ka-52 Poprawna: c) Ka-52,,,,,,,,,,,,
mcq,19,Następujący środek obrony przeciwlotniczej nie jest na uzbrojeniu baterii plot?,ZU-23-2,TOR,Poprad Poprawna: b) TOR,,,,,,,,,,,,
mcq,20,W kompanii zmechanizowanej plutonów zmechanizowanych jest?,Dwa,Trzy,Cztery Poprawna: b) Trzy,,,,,,,,,,,,
mcq,21,Głównym zadaniem elementów dalekiego rozpoznania jest?,Bezpośrednie niszczenie sił przeciwnika w pierwszym rzucie,Zabezpieczenie logistyczne wojsk własnych,"Zbieranie informacji o przeciwniku, jego siłach, rozmieszczeniu, ruchach i zamiarach z odpowiednim wyprzedzeniem",Organizowanie obrony przeciwlotniczej ugrupowania bojowego,C,,,,,,,,,,
mcq,22,Rozpoznanie wojskowe obejmuje?,Wyłącznie rozpoznanie sił przeciwnika w bezpośrednim kontakcie,"Rozpoznanie sił przeciwnika, rozpoznanie terenu, zbieranie informacji wywiadowczych, wczesne ostrzeganie, prowadzenie działań specjalnych",Jedynie działania satelitarne i cybernetyczne,Organizację mobilizacji i rozwinięcia wojsk,B,,,,,,,,,,
mcq,23,W wojskach lądowych kompania rozpoznawcza podległa dowódcy brygady realizuje zadania takie jak?,Wyłącznie ochrona stanowiska dowodzenia brygady,"Zbieranie danych wywiadowczych, rozpoznanie terenu, patrole i rajdy rozpoznawcze, naprowadzanie ognia, zwalczanie rozpoznania przeciwnika",Prowadzenie zasadniczych działań szturmowych w pierwszym rzucie,Zabezpieczenie medyczne pododdziałów liniowych,B,,,,,,,,,,
